constructor,status,date,circuit,year,race
Toro Rosso,Finished,2019-10-27,Mexican Grand Prix,2019,18
Racing Point,Finished,2019-10-27,Mexican Grand Prix,2019,18
McLaren,Finished,2019-10-27,Mexican Grand Prix,2019,18
Alfa Romeo,Finished,2019-10-27,Mexican Grand Prix,2019,18
Haas F1 Team,Finished,2019-10-27,Mexican Grand Prix,2019,18
Williams,Finished,2019-10-27,Mexican Grand Prix,2019,18
Haas F1 Team,Finished,2019-10-27,Mexican Grand Prix,2019,18
Williams,Finished,2019-10-27,Mexican Grand Prix,2019,18
Alfa Romeo,Overheating,2019-10-27,Mexican Grand Prix,2019,18
Mercedes,Finished,2019-11-03,United States Grand Prix,2019,19
Mercedes,Finished,2019-11-03,United States Grand Prix,2019,19
Red Bull,Finished,2019-11-03,United States Grand Prix,2019,19
Ferrari,Finished,2019-11-03,United States Grand Prix,2019,19
Red Bull,Finished,2019-11-03,United States Grand Prix,2019,19
Renault,Finished,2019-11-03,United States Grand Prix,2019,19
McLaren,Finished,2019-11-03,United States Grand Prix,2019,19
McLaren,Finished,2019-11-03,United States Grand Prix,2019,19
Renault,Finished,2019-11-03,United States Grand Prix,2019,19
Racing Point,Finished,2019-11-03,United States Grand Prix,2019,19
